id,epigraph,district,barrio,state
100001581,561005,10,1004,Abierto
100001582,561005,10,1002,Cerrado
100001586,471902,10,1002,Abierto
100001588,960201,10,1002,Abierto
100001589,869003,10,1005,Abierto
100001590,561004,10,1002,Abierto
100001592,610002,10,1001,Cerrado
100001595,563005,10,1003,Abierto
100001597,474201,10,1003,Abierto
100001599,563005,10,1002,Cerrado
100001603,561004,10,1001,Cerrado
100001605,561005,10,1003,Abierto
100001606,821001,10,1004,Abierto
100001607,960201,10,1004,Abierto
100001612,960201,10,1004,Abierto
100001613,862001,10,1007,Abierto
100001614,561005,10,1003,Abierto
100001616,561004,10,1002,Abierto
100001617,561004,10,1002,Abierto
100001618,471102,10,1002,Abierto
10000162,472206,01,104,Abierto
100001621,960201,10,1004,Abierto
100001622,472911,10,1007,Abierto
100001623,477801,10,1002,Abierto
100001625,561004,10,1002,Abierto
100001626,561005,10,1003,Abierto
100001630,960902,10,1007,Cerrado
100001631,561006,10,1002,Abierto
100001632,563005,10,1001,Abierto
100001634,960201,10,1007,Abierto
100001635,862003,10,1007,Abierto
100001636,561005,10,1001,Abierto
100001637,452002,10,1004,Abierto
100001640,452002,10,1007,Abierto
100001644,561001,10,1002,Abierto
100001647,561004,10,1003,Abierto
100001650,563002,10,1004,Abierto
100001653,000000,10,1002,Abierto
100001654,750002,10,1004,Abierto
100001659,452002,10,1003,Abierto
100001661,561006,10,1007,Abierto
100001667,561006,10,1004,Abierto
100001668,561004,10,1003,Abierto
100001671,472402,10,1007,Abierto
100001674,452002,10,1004,Abierto
100001680,452004,10,1001,Abierto
100001681,452002,10,1001,Cerrado
100001685,561005,10,1003,Cerrado
100001686,472911,10,1004,Abierto
100001689,960201,10,1004,Baja Reunificación
100001692,862003,10,1002,Abierto
100001701,561002,10,1003,Abierto
100001703,563005,10,1002,Abierto
100001706,960201,10,1003,Abierto
100001707,960203,10,1001,Abierto
100001709,960203,10,1004,Abierto
100001711,472407,10,1002,Abierto
100001713,477601,10,1002,Abierto
100001714,477602,10,1004,Abierto
100001717,561005,10,1004,Abierto
100001725,869001,10,1004,Abierto
100001726,471104,10,1002,Abierto
100001730,960201,10,1007,Abierto
100001731,960201,10,1002,Abierto
100001732,869009,10,1003,Abierto
100001735,472911,10,1002,Cerrado
100001738,477101,10,1007,Abierto
100001739,475903,10,1007,Abierto
100001744,949101,10,1004,Abierto
100001745,561001,10,1002,Abierto
100001746,432001,10,1002,Abierto
100001747,477201,10,1002,Abierto
100001757,960201,10,1003,Abierto
100001762,931008,10,1007,Abierto
10000204,559003,01,104,Abierto
10000224,472201,01,102,Abierto
10000226,472201,01,102,Cerrado
10000238,472201,01,102,Cerrado
10000258,471902,01,106,Abierto
10000264,561004,01,106,Abierto
10000275,472202,01,101,Abierto
10000284,561001,01,103,Abierto
10000290,472302,01,102,Abierto
10000299,472407,01,102,Abierto
10000306,562902,01,103,Abierto
10000307,562902,01,102,Abierto
10000308,562902,01,102,Abierto
10000310,852001,01,102,Abierto
10000319,561001,01,101,Abierto
10000325,561001,01,101,Abierto
10000327,561004,01,101,Abierto
10000358,561005,01,105,Abierto
10000385,561001,01,103,Abierto
10000387,561002,01,106,Abierto
10000391,551001,01,106,Abierto
10000398,852001,01,104,Abierto
10000401,561006,01,101,Abierto
