local_id,change,old,new
285035465,epigraph_changed,521001|13|1302|Abierto,475203|13|1302|Abierto
285035698,epigraph_changed,471104|13|1303|Abierto,471902|13|1303|Abierto
285035903,epigraph_changed,nan|13|1303|Cerrado,701001|13|1303|Cerrado
285036051,state_changed,952004|13|1304|Cerrado,471104|13|1304|Abierto
285036506,epigraph_changed,683001|13|1305|Abierto,472204|13|1305|Abierto
285036696,epigraph_changed,960201|13|1305|Abierto,960101|13|1305|Abierto
285037668,epigraph_changed,nan|13|1301|Cerrado,960101|13|1301|Cerrado
285037838,epigraph_changed,nan|13|1306|Cerrado,000000|13|1306|Cerrado
285037988,state_changed,471902|13|1306|Abierto,000000|13|1306|Cerrado
285038642,state_changed,nan|13|1301|Cerrado,949902|13|1301|Abierto
285039490,epigraph_changed,nan|16|1604|Cerrado,743001|16|1604|Cerrado
285040047,epigraph_changed,472302|16|1604|Cerrado,472905|16|1604|Cerrado
285040453,epigraph_changed,nan|16|1605|Cerrado,741001|16|1605|Cerrado
285041053,epigraph_changed,952004|16|1606|Abierto,477101|16|1606|Abierto
285041169,epigraph_changed,561001|16|1602|Abierto,472407|16|1602|Abierto
285041231,epigraph_changed,nan|20|2001|Cerrado,000000|20|2001|Cerrado
285041304,epigraph_changed,000000|20|2001|Cerrado,854002|20|2001|Cerrado
285041315,epigraph_changed,471101|20|2001|Abierto,472202|20|2001|Abierto
285042364,epigraph_changed,749001|20|2001|Abierto,855002|20|2001|Abierto
285042582,epigraph_changed,nan|20|2005|Cerrado,960203|20|2005|Cerrado
285042898,epigraph_changed,472905|20|2006|Abierto,471101|20|2006|Abierto
285043006,epigraph_changed,nan|15|1501|Abierto,821001|15|1501|Abierto
285043061,epigraph_changed,960901|15|1501|Abierto,960203|15|1501|Abierto
285043178,epigraph_changed,471902|15|1501|Abierto,471101|15|1501|Abierto
285044226,epigraph_changed,730001|15|1502|Abierto,521001|15|1502|Abierto
285044358,epigraph_changed,472502|15|1502|Abierto,463902|15|1502|Abierto
285044726,epigraph_changed,521001|15|1502|Abierto,466002|15|1502|Abierto
285045022,epigraph_changed,960205|15|1502|Abierto,960206|15|1502|Abierto
285045312,epigraph_changed,411001|15|1502|Abierto,559002|15|1502|Abierto
285045360,epigraph_changed,472201|15|1502|Abierto,472302|15|1502|Abierto
285045367,epigraph_changed,477101|15|1502|Abierto,471104|15|1502|Abierto
285046146,epigraph_changed,472911|15|1504|Abierto,472501|15|1504|Abierto
285046167,epigraph_changed,477101|15|1504|Abierto,952004|15|1504|Abierto
285046506,epigraph_changed,477101|15|1504|Abierto,477601|15|1504|Abierto
285046709,epigraph_changed,960201|15|1505|Abierto,900001|15|1505|Abierto
285046777,epigraph_changed,562903|15|1505|Abierto,870001|15|1505|Abierto
285046906,epigraph_changed,821001|15|1507|Abierto,862001|15|1507|Abierto
290000382,epigraph_changed,790001|06|602|Abierto,559003|06|602|Abierto
290000796,epigraph_changed,451001|20|2007|Abierto,451002|20|2007|Abierto
290000903,epigraph_changed,108001|18|1801|Abierto,101002|18|1801|Abierto
290000967,epigraph_changed,102003|18|1801|Abierto,463805|18|1801|Abierto
290000985,epigraph_changed,463805|18|1801|Cerrado,102002|18|1801|Cerrado
290001011,epigraph_changed,102003|18|1801|Abierto,102002|18|1801|Abierto
290001019,state_changed,463803|18|1801|Abierto,463803|18|1801|Cerrado
290001093,epigraph_changed,463202|18|1801|Abierto,101003|18|1801|Abierto
290001099,epigraph_changed,101001|18|1801|Abierto,101002|18|1801|Abierto
290001197,state_changed,102002|18|1801|Cerrado,102003|18|1801|Abierto
290001253,epigraph_changed,463904|18|1801|Abierto,463803|18|1801|Abierto
300001685,epigraph_changed,000000|01|103|Abierto,551005|01|103|Abierto
30000175,state_changed,000000|03|303|Cerrado,561004|03|303|Abierto
300003050,epigraph_changed,702001|01|106|Abierto,551005|01|106|Abierto
300003404,epigraph_changed,855003|01|106|Abierto,559003|01|106|Abierto
300004274,epigraph_changed,nan|15|1502|Cerrado,010001|15|1502|Cerrado
300004614,epigraph_changed,691002|15|1506|Abierto,702001|15|1506|Abierto
300004800,epigraph_changed,350001|15|1509|Abierto,821001|15|1509|Abierto
300005999,state_changed,683001|05|501|Abierto,683001|05|501|Baja Reunificación
300006000,state_changed,683001|05|501|Abierto,683001|05|501|Baja Reunificación
300008058,epigraph_changed,nan|06|602|Abierto,821001|06|602|Abierto
300009479,epigraph_changed,467001|11|1102|Abierto,821001|11|1102|Abierto
300010091,epigraph_changed,821001|20|2008|Abierto,710001|20|2008|Abierto
300016961,epigraph_changed,nan|04|405|Abierto,000000|04|405|Abierto
300017548,epigraph_changed,nan|04|406|Abierto,000000|04|406|Abierto
40000202,epigraph_changed,870001|04|406|Abierto,562903|04|406|Abierto
40000335,epigraph_changed,472902|04|401|Abierto,561006|04|401|Abierto
40001400,epigraph_changed,960201|04|406|Abierto,683001|04|406|Abierto
40002742,state_changed,561001|04|405|Cerrado,561001|04|405|Abierto
40002968,epigraph_changed,103001|04|404|Abierto,960201|04|404|Abierto
40003044,epigraph_changed,563005|04|404|Abierto,563001|04|404|Abierto
40003075,epigraph_changed,561006|04|402|Abierto,477101|04|402|Abierto
50001007,epigraph_changed,472201|05|505|Abierto,101003|05|505|Abierto
50001300,epigraph_changed,869010|05|502|Abierto,477701|05|502|Abierto
50001748,epigraph_changed,472202|05|505|Abierto,561006|05|505|Abierto
60000967,epigraph_changed,472911|06|602|Abierto,472407|06|602|Abierto
60001346,epigraph_changed,472302|06|602|Abierto,561001|06|602|Abierto
60002041,state_changed,000000|06|603|Cerrado,561004|06|603|Abierto
60002976,epigraph_changed,471902|06|601|Abierto,472911|06|601|Abierto
60003043,epigraph_changed,821001|06|602|Abierto,683001|06|602|Abierto
60003077,epigraph_changed,960201|06|602|Abierto,960202|06|602|Abierto
60003102,epigraph_changed,562903|06|606|Abierto,881001|06|606|Abierto
60003105,epigraph_changed,862001|06|606|Abierto,855002|06|606|Abierto
60003107,epigraph_changed,561004|06|602|Abierto,561001|06|602|Abierto
70000131,epigraph_changed,472206|07|704|Abierto,472205|07|704|Abierto
70000153,epigraph_changed,472910|07|703|Abierto,855002|07|703|Abierto
70000193,epigraph_changed,472202|07|701|Abierto,471101|07|701|Abierto
70000262,epigraph_changed,477602|07|704|Abierto,471104|07|704|Abierto
70000905,epigraph_changed,477501|07|701|Abierto,477801|07|701|Abierto
70000937,epigraph_changed,472102|07|704|Abierto,472911|07|704|Abierto
70001012,epigraph_changed,960201|07|704|Abierto,960203|07|704|Abierto
70001021,epigraph_changed,471101|07|702|Abierto,471103|07|702|Abierto
70001062,epigraph_changed,960202|07|705|Abierto,960203|07|705|Abierto
70001066,epigraph_changed,840001|07|705|Abierto,562902|07|705|Abierto
70001108,epigraph_changed,852002|07|703|Abierto,853002|07|703|Abierto
70001140,epigraph_changed,960201|07|701|Abierto,960203|07|701|Abierto
70001144,epigraph_changed,562903|07|702|Abierto,870001|07|702|Abierto
70001148,epigraph_changed,472101|07|701|Abierto,471101|07|701|Abierto
70001151,epigraph_changed,561004|07|702|Abierto,561001|07|702|Abierto
70001182,epigraph_changed,474201|07|701|Abierto,471902|07|701|Abierto
70001256,epigraph_changed,562902|07|706|Cerrado,851001|07|706|Cerrado
70001272,epigraph_changed,951001|07|706|Abierto,474301|07|706|Abierto
70001273,epigraph_changed,851001|07|702|Abierto,562902|07|702|Abierto
70001305,epigraph_changed,472911|07|702|Abierto,472102|07|702|Abierto
70001313,epigraph_changed,562904|07|704|Abierto,881001|07|704|Abierto
70001314,epigraph_changed,851001|07|703|Abierto,562902|07|703|Abierto
